year,yrMonth,serMonth,discharge
1966,12,612,76.99
1967,1,613,72.03
1967,2,614,71.05
1967,3,615,69.19
1967,4,616,66
1967,5,617,229.37
1967,6,618,345.07
1967,7,619,184.95
1967,8,620,58.92
1967,9,621,27.6
1967,10,622,83.49
1967,11,623,108.14
1967,12,624,113.04
1968,1,625,106.42
1968,2,626,84.35
1968,3,627,85.14
1968,4,628,134.12
1968,5,629,219.56
1968,6,630,301.28
1968,7,631,39.04
1968,8,632,132.54
1968,9,633,51.76
1968,10,634,74.85
1968,11,635,108.75
1968,12,636,135.78
1969,1,637,153.08
1969,2,638,146.64
1969,3,639,184.95
1969,4,640,425.05
1969,5,641,243.86
1969,6,642,154.21
1969,7,643,59.82
1969,8,644,53.79
1969,9,645,45.39
1969,10,646,76.62
1969,11,647,81.52
1969,12,648,72.8
1970,1,649,81
1970,2,650,85.52
1970,3,651,80.3
1970,4,652,157.59
1970,5,653,427.32
1970,6,654,382.08
1970,7,655,158.24
1970,8,656,50.23
1970,9,657,87.75
1970,10,658,90.33
1970,11,659,123.09
1970,12,660,129.53
1971,1,661,138.74
1971,2,662,177.63
1971,3,663,258.44
1971,4,664,543.78
1971,5,665,613.02
1971,6,666,479.03
1971,7,667,330.19
1971,8,668,99.68
1971,9,669,192.34
1971,10,670,274.16
1971,11,671,194.72
1971,12,672,157.11
1972,1,673,148.8
1972,2,674,178.54
1972,3,675,322.79
1972,4,676,516.5
1972,5,677,411.69
1972,6,678,438.28
1972,7,679,89.45
1972,8,680,100.28
1972,9,681,155.19
1972,10,682,185.48
1972,11,683,162.88
1972,12,684,165.65
1973,1,685,131.08
1973,2,686,150.64
1973,3,687,133.58
1973,4,688,163.85
1973,5,689,199.45
1973,6,690,149.9
1973,7,691,123.19
1973,8,692,64.24
1973,9,693,59.25
1973,10,694,71.13
1973,11,695,95.45
1973,12,696,92.99
1974,1,697,104.27
1974,2,698,125.91
1974,3,699,207.85
1974,4,700,524.05
1974,5,701,482.21
1974,6,702,454.77
1974,7,703,186.96
1974,8,704,65.35
1974,9,705,48.95
1974,10,706,117.08
1974,11,707,151.09
1974,12,708,139.68
1975,1,709,133.99
1975,2,710,128.5
1975,3,711,203.29
1975,4,712,345.19
1975,5,713,428.13
1975,6,714,312.94
1975,7,715,226.46
1975,8,716,90.92
1975,9,717,57.27
1975,10,718,115.12
1975,11,719,142.43
1975,12,720,151.59
1976,1,721,153.17
1976,2,722,153.87
1976,3,723,264.68
1976,4,724,468.93
1976,5,725,640.33
1976,6,726,333.94
1976,7,727,87.23
1976,8,728,103.45
1976,9,729,68.89
1976,10,730,91.35
1976,11,731,106.27
1976,12,732,157.15
1977,1,733,125.54
1977,2,734,77.64
1977,3,735,51.75
1977,4,736,55.66
1977,5,737,95.55
1977,6,738,62.84
1977,7,739,48.92
1977,8,740,74.19
1977,9,741,24.61
1977,10,742,19.67
1977,11,743,48.85
1977,12,744,58.22
1978,1,745,58.55
1978,2,746,61.07
1978,3,747,94.01
1978,4,748,238.02
1978,5,749,327.08
1978,6,750,238.16
1978,7,751,113.39
1978,8,752,58.38
1978,9,753,54.9
1978,10,754,34.29
1978,11,755,91.38
1978,12,756,129.51
1979,1,757,144.54
1979,2,758,148.46
1979,3,759,199.84
1979,4,760,222.83
1979,5,761,156.86
1979,6,762,146.37
1979,7,763,72.97
1979,8,764,55.84
1979,9,765,16.25
1979,10,766,37.39
1979,11,767,56.68
1979,12,768,66.86
1980,1,769,67.8
1980,2,770,75.41
1980,3,771,62.64
1980,4,772,154.75
1980,5,773,350.38
1980,6,774,380.24
1980,7,775,80.99
