country,code,year,grnGasEm100K,pop10M
Brazil,BRA,2004,19.6743,18.6116
Canada,CAN,2004,10.4014,3.1995
China,CHN,2004,71.1664,129.6075
Germany,DEU,2004,10.1663,8.2516
France,FRA,2004,5.6065,6.2705
United Kingdom,GBR,2004,6.6292,5.9988
India,IND,2004,20.9033,112.6419
Japan,JPN,2004,14.2740,12.7761
Mexico,MEX,2004,5.6779,10.8258
United States,USA,2004,72.4427,29.2805
Brazil,BRA,2005,23.8644,18.8479
Canada,CAN,2005,8.4980,3.2312
China,CHN,2005,78.0354,130.3720
Germany,DEU,2005,9.8129,8.2469
France,FRA,2005,5.5713,6.3179
United Kingdom,GBR,2005,6.5911,6.0401
India,IND,2005,21.1746,114.4326
Japan,JPN,2005,14.3991,12.7773
Mexico,MEX,2005,6.4131,10.9748
United States,USA,2005,71.8281,29.5517
Brazil,BRA,2006,16.2108,19.0698
Canada,CAN,2006,8.9492,3.2571
China,CHN,2006,85.7340,131.1020
Germany,DEU,2006,9.9469,8.2376
France,FRA,2006,5.4736,6.3621
United Kingdom,GBR,2006,6.5833,6.0847
India,IND,2006,22.3276,116.2088
Japan,JPN,2006,14.2590,12.7854
Mexico,MEX,2006,6.4214,11.1383
United States,USA,2006,69.9409,29.8380
Brazil,BRA,2007,27.0350,19.2785
Canada,CAN,2007,8.9207,3.2888
China,CHN,2007,91.2405,131.7885
Germany,DEU,2007,9.7290,8.2266
France,FRA,2007,5.4095,6.4016
United Kingdom,GBR,2007,6.4641,6.1322
India,IND,2007,23.8201,117.9686
Japan,JPN,2007,14.6136,12.8001
Mexico,MEX,2007,6.4632,11.3139
United States,USA,2007,71.2895,30.1231
Brazil,BRA,2008,15.3286,19.4770
Canada,CAN,2008,9.0893,3.3246
China,CHN,2008,100.2202,132.4655
Germany,DEU,2008,9.9212,8.2110
France,FRA,2008,5.4442,6.4375
United Kingdom,GBR,2008,6.3542,6.1807
India,IND,2008,24.3871,119.7070
Japan,JPN,2008,13.8516,12.8063
Mexico,MEX,2008,6.4417,11.4973
United States,USA,2008,66.4899,30.4094
Brazil,BRA,2009,12.1197,19.6701
Canada,CAN,2009,7.4986,3.3629
China,CHN,2009,106.1726,133.1260
Germany,DEU,2009,9.5046,8.1902
France,FRA,2009,5.2753,6.4707
United Kingdom,GBR,2009,5.8494,6.2276
India,IND,2009,25.9464,121.4182
Japan,JPN,2009,12.9024,12.8047
Mexico,MEX,2009,6.4886,11.6816
United States,USA,2009,66.0407,30.6772
Brazil,BRA,2010,29.0224,19.8614
Canada,CAN,2010,7.6414,3.4005
China,CHN,2010,111.8381,133.7705
Germany,DEU,2010,9.4801,8.1777
France,FRA,2010,5.3213,6.5028
United Kingdom,GBR,2010,6.0959,6.2766
India,IND,2010,27.7146,123.0985
Japan,JPN,2010,13.5043,12.8070
Mexico,MEX,2010,6.4338,11.8618
United States,USA,2010,67.1335,30.9347
Brazil,BRA,2011,29.5304,20.0518
Canada,CAN,2011,10.3348,3.4343
China,CHN,2011,120.6426,134.4130
Germany,DEU,2011,9.2954,8.1798
France,FRA,2011,5.0266,6.5343
United Kingdom,GBR,2011,5.6806,6.3259
India,IND,2011,28.2885,124.7446
Japan,JPN,2011,13.9677,12.7817
Mexico,MEX,2011,6.5286,12.0365
United States,USA,2011,65.7165,31.1719
Brazil,BRA,2012,29.8942,20.2402
Canada,CAN,2012,10.2706,3.4751
China,CHN,2012,124.5471,135.0695
Germany,DEU,2012,9.5172,8.0426
France,FRA,2012,4.9915,6.5660
United Kingdom,GBR,2012,5.8578,6.3700
India,IND,2012,30.0289,126.3590
Japan,JPN,2012,14.7886,12.7561
Mexico,MEX,2012,6.6342,12.2071
United States,USA,2012,63.4384,31.4103
